placed=438 dropped=22 bytes=893028 identical=726717 (81.38%) exact_objs=201
      0/    148 differing  build/recon/eaclib/psx/sndpsxz/sbadd.c.o
      0/    136 differing  build/recon/eaclib/psx/sndpsxz/sstop.c.o
      0/    232 differing  build/recon/eaclib/psx/sndpsxz/spitch.c.o
      0/    212 differing  build/recon/eaclib/psx/sndpsxz/smasterv.c.o
      0/     12 differing  build/recon/syslib/psx/libc/A63.c.o
      0/    196 differing  build/recon/eaclib/psx/sndpsxz/s3dlow.c.o
      0/    120 differing  build/recon/eaclib/psx/sndpsxz/sstopall.c.o
      0/    284 differing  build/recon/eaclib/psx/sndpsxz/sautovol.c.o
      0/     92 differing  build/recon/eaclib/psx/sndpsxz/sstgetv.c.o
      0/    248 differing  build/recon/eaclib/psx/sndpsxz/sststat.c.o
      0/    368 differing  build/recon/eaclib/psx/sndpsxz/sstrstat.c.o
      0/   3888 differing  build/recon/eaclib/psx/sndpsxz/sst.c.o
      0/    492 differing  build/recon/eaclib/psx/sndpsxz/spvoices.c.o
      0/     92 differing  build/recon/eaclib/psx/sndpsxz/sstsetgl.c.o
      0/     92 differing  build/recon/eaclib/psx/sndpsxz/sstsetgs.c.o
      0/    136 differing  build/recon/eaclib/psx/sndpsxz/sstautov.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C27.c.o
      0/    132 differing  build/recon/eaclib/psx/sndpsxz/sstovrhd.c.o
      0/     96 differing  build/recon/eaclib/psx/sndpsxz/sstvol.c.o
      0/   1016 differing  build/recon/eaclib/psx/eacpsxz/syncfile.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C42.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C47.c.o
      0/    184 differing  build/recon/eaclib/psx/eacpsxz/crossprd.c.o
      0/     12 differing  build/recon/syslib/psx/libgte/REG13.c.o
      0/    300 differing  build/recon/eaclib/psx/eacpsxz/fxform.c.o
      0/    272 differing  build/recon/eaclib/psx/eacpsxz/trnsfrm.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C16.c.o
      0/    192 differing  build/recon/eaclib/psx/eacpsxz/locatshp.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C24.c.o
      0/    256 differing  build/recon/syslib/psx/libmath/FLTSIDF.c.o
      0/    220 differing  build/recon/syslib/psx/libmath/LTDF2.c.o
      0/     32 differing  build/recon/eaclib/psx/spchpsxz/spchrslv.c.o
      0/    180 differing  build/recon/eaclib/psx/sndpsxz/stimerem.c.o
      0/     56 differing  build/recon/eaclib/psx/eacpsxz/fixdinv.c.o
      0/    260 differing  build/recon/eaclib/psx/eacpsxz/fixdsin.c.o
      0/    212 differing  build/recon/syslib/psx/libmath/GTDF2.c.o
      0/    112 differing  build/recon/eaclib/psx/eacpsxz/shpsubs.c.o
      0/    324 differing  build/recon/eaclib/psx/eacpsxz/blkfill.c.o
      0/     60 differing  build/recon/syslib/psx/libgpu/P00.c.o
      0/    240 differing  build/recon/syslib/psx/libgpu/EXT.c.o
      0/     32 differing  build/recon/syslib/psx/libgte/REG11.c.o
      0/    100 differing  build/recon/syslib/psx/libgte/FOG_01.c.o
      0/    136 differing  build/recon/eaclib/psx/eacpsxz/getm.c.o
      0/     80 differing  build/recon/eaclib/psx/eacpsxz/textcrnt.c.o
      0/     40 differing  build/recon/syslib/psx/libgpu/P10.c.o
