placed=443 dropped=17 bytes=922020 identical=777622 (84.34%) exact_objs=226 data_placed=238 data_bytes=56502 data_identical=53010
      0/     16 differing  build/recon/syslib/psx/libapi/A37.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A23.c.o
      0/     16 differing  build/recon/syslib/psx/libapi/A36.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A24.c.o
      0/     24 differing  build/recon/eaclib/psx/eacpsxz/textcode.c.o
      0/    100 differing  build/recon/syslib/psx/libmath/FERR.c.o
      0/    192 differing  build/recon/syslib/psx/libsn/READ.c.o
      0/     32 differing  build/recon/syslib/psx/libsn/OPEN.c.o
      0/     12 differing  build/recon/syslib/psx/libsn/FSINIT.c.o
      0/     32 differing  build/recon/syslib/psx/libsn/CREAT.c.o
      0/     44 differing  build/recon/eaclib/psx/eacpsxz/devsys.c.o
      0/     36 differing  build/recon/syslib/psx/libsn/LSEEK.c.o
      0/     16 differing  build/recon/syslib/psx/libsn/CLOSE.c.o
      0/    192 differing  build/recon/syslib/psx/libsn/WRITE.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A12.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A08.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A13.c.o
      0/    188 differing  build/recon/syslib/psx/libmath/DBSHIFT.c.o
      0/    112 differing  build/recon/syslib/psx/libmath/MAINASU.c.o
      0/    172 differing  build/recon/syslib/psx/libmath/ADDMANT.c.o
      0/     24 differing  build/recon/syslib/psx/libgpu/P09.c.o
      0/     60 differing  build/recon/syslib/psx/libgpu/P06.c.o
      0/     12 differing  build/recon/syslib/psx/libc/C37.c.o
      0/    192 differing  build/recon/syslib/psx/libc/BSEARCH.c.o
      0/    100 differing  build/recon/eaclib/psx/sndpsxz/sdcdvol.c.o
      0/     12 differing  build/recon/syslib/psx/libcard/C171.c.o
      0/     52 differing  build/recon/syslib/psx/libcard/CARD.c.o
      0/     12 differing  build/recon/syslib/psx/libcard/C172.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A50.c.o
      0/     12 differing  build/recon/syslib/psx/libapi/A54.c.o
