class	region_va	base_va	name	rows	callers	strings
CHANGED	8004A108	8004A1B8	StatChk_SaveTopTime__FP10Car_tStatss	437	MenuExtended_FinishedPlayer1GetName__FR12tMenuCommand;MenuExtended_FinishedPlayer2GetName__FR12tMenuCommand	
CHANGED	8004A808	8004A868	Stattool_nCreateIndex__FiPiPs	77	StatChk_IsRecordLapTime__FP10Car_tStatssPs;StatChk_SaveTopTime__FP10Car_tStatss	
CHANGED	8004AA54	8004AAB4	UserNameUpperCaseOneLetter__FPc	72	Stattool_SamNelsonsUpperLowerStringConverterForRecords__FPc;Stattool_SamNelsonsUpperLowerStringConverterForRecords__FPc;StatTool_UpperCaseItKeepingInMindThoseBloodySpecialCharacters__FPc	
CHANGED	8004CC8C	8004CCE4	Movie_Play__Fc	134	play_movie__Fc	
CHANGED	80051160	800511B0	videodecode__FP11VIDEOSTRUCTP14STREAMCHUNKHDRii	258	VIDEO_updateframexy__Fiii	
CHANGED	80051568	800515B8	func_80051568	6913		
CHANGED	800644B4	80063CC4	HighExecute__10AIHigh_Cop	1464		
CHANGED	8006FEF8	8006F6F8	AIScript_Assign__FP10AIScript_tPA7_25AIScript_tReactionDetails	8	AIPerson_SetPersonality__FP8Car_tObji	
CHANGED	800701BC	8006F9A4	AIState_StartUp__Fv	16	AIHigh_StartUp__Fv	
CHANGED	800701FC	8006F9C4	AIState_Restart__Fv	16	AIHigh_Restart2__Fv	
REGION-ONLY	800702E4		func_800702E4	19	__11AIHigh_BaseP8Car_tObj;HighExecute__18AIHigh_BTC_Wingman;HighExecute__18AIHigh_BTC_Wingman;HighExecute__18AIHigh_BTC_Wingman	
REGION-ONLY	80070330		func_80070330	15	___12AIState_None;___12AIState_Base;___17AIState_NonActive;___12AIState_Base_8005F680	
CHANGED	800754C8	80074BE8	AudioClc_CalcAzimuth__FP17DRender_tCalcViewP8coorddef	96	AudioClc_SoundPlayersCar__Fi;AudioTrk_AddCustomObject__FP9AudioElemiP8coorddefiP8Car_tObji	
