name	distinct	groups
Movie_Play__Fc	2	AU+FR-DE+UK-ES-IT+UK-SW(136w) || JPN+USA(134w)
NFS4_LoadPerps__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(172w)
Newton_TestForUndrivableSurfaces__FP13BO_tNewtonObj	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(492w)
Object_KillStatus__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(28w)
PAD_restore	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(17w)
PAD_state	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(20w)
PAD_update	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(63w)
PadInfoAct	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(53w)
Physics_Real__FP8Car_tObj	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(1273w)
Platform_SysStartUp__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(58w)
PreLoad__11tScreenMain	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(39w)
ProcessInput__16tScreenCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(111w)
ProcessInput__25tScreenPinkSlipsCarSelect7tPlayerR13tInputKeyTypeR12tMenuCommand	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(58w)
R3DCar_InsertCarFacetII__FP8Car_tObj	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(382w)
R3DCar_InsertCarFacet__FP8Car_tObjP13DRender_tView	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(1153w)
Redraw__14tFEApplication	3	AU+FR-DE+UK-ES-IT+UK-SW(363w) || JPN(373w) || USA(360w)
Render_CreatePlayerViews__Fv	1	AU+FR-DE+UK-ES-IT+UK-SW(59w)
Render_InitBlurMode__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(27w)
Render_InitTrackRender__Fv	1	AU+FR-DE+UK-ES-IT+UK-SW(46w)
Render_RenderWorld__FP13DRender_tView	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(41w)
Render_Render__Fi	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(82w)
RunDemoVideo__14tFEApplication	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(184w)
SaveGame__Fs	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(298w)
SavePinkSlipsCars__Fss	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(236w)
SetCurrentController__23tScreenControllerConfigb	1	JPN(183w)
SetupChunkBuildList__FP13DRender_tView	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(224w)
SetupCurrCredit__14tCreditManager	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(214w)
ShakeIt__23tScreenControllerConfig	1	JPN(2w)
StatChk_IsRecordLapTime__FP10Car_tStatssPs	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(207w)
StatChk_IsTopTime__FP10Car_tStatss	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(299w)
StatChk_SaveTopTime__FP10Car_tStatss	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(437w)
Stats_ExtrapolateOpponentTimes__Fi	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(490w)
Stattool_nCreateIndex__FiPiPs	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(77w)
SwapBackground__11tScreenMaini	2	AU(110w) || JPN(109w)
Track_DeInit__Fv	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(55w)
Track_Init__FPc	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(291w)
UpdateTrackFinishPoints__18tTournamentManager	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(129w)
UserNameUpperCaseOneLetter__FPc	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(72w)
Weather_DoSplats__FiP18Weather_tSplatInfo	1	AU+FR-DE+UK-ES-IT+UK-SW(97w)
__15tGlobalMenuDefs	2	AU+FR-DE+UK-ES-IT+UK-SW+USA(3207w) || JPN(3197w)
func_80012F40	1	JPN(106w)
func_80012F50	1	USA(106w)
func_80012F6C	1	AU(107w)
func_80012FC4	1	FR-DE+UK-SW(107w)
func_80012FDC	1	UK-ES-IT(107w)
func_8004DCB4	1	AU(37w)
func_8004DD24	1	FR-DE+UK-SW(37w)
func_8004DD3C	1	UK-ES-IT(37w)
func_80051568	1	JPN(6913w)
func_80051AA0	1	USA(6579w)
func_80051B58	1	AU(6533w)
func_80051E60	1	UK-SW(6339w)
func_80051E68	1	FR-DE(6337w)
func_80051EA8	1	UK-ES-IT(6321w)
func_800702E4	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(19w)
func_80070330	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(15w)
func_80075F28	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(465w)
func_8009A5AC	1	JPN+USA(44w)
func_8009A5B0	1	AU+FR-DE+UK-ES-IT+UK-SW(44w)
func_8009B57C	1	JPN+USA(192w)
func_8009B580	1	AU+FR-DE+UK-ES-IT+UK-SW(192w)
func_800A7788	1	JPN+USA(14w)
func_800A778C	1	AU+FR-DE+UK-ES-IT+UK-SW(14w)
func_800A77C0	1	JPN+USA(9w)
func_800A77C4	1	AU+FR-DE+UK-ES-IT+UK-SW(9w)
func_800A77E4	1	JPN+USA(10w)
func_800A77E8	1	AU+FR-DE+UK-ES-IT+UK-SW(10w)
func_800A780C	1	JPN+USA(6w)
func_800A7810	1	AU+FR-DE+UK-ES-IT+UK-SW(6w)
func_800A7824	1	JPN+USA(8w)
func_800A7828	1	AU+FR-DE+UK-ES-IT+UK-SW(8w)
func_800A7844	1	JPN+USA(8w)
func_800A7848	1	AU+FR-DE+UK-ES-IT+UK-SW(8w)
func_800A7864	1	JPN+USA(8w)
func_800A7868	1	AU+FR-DE+UK-ES-IT+UK-SW(8w)
func_800A7884	1	JPN+USA(8w)
func_800A7888	1	AU+FR-DE+UK-ES-IT+UK-SW(8w)
func_800BB0A8	1	JPN(57w)
func_800BB2F4	1	USA(57w)
func_800BB2F8	1	AU+FR-DE+UK-ES-IT+UK-SW(57w)
func_800DCC90	1	JPN(2w)
func_800DCC98	1	JPN(2w)
func_800DCEA4	1	USA(2w)
func_800DCEAC	1	USA(2w)
func_800DCED0	1	AU+FR-DE+UK-ES-IT+UK-SW(2w)
func_800DCED8	1	AU+FR-DE+UK-ES-IT+UK-SW(2w)
func_800EECDC	1	AU+FR-DE+UK-ES-IT+UK-SW(16w)
func_801051A4	1	JPN(4w)
func_801053B8	1	USA(4w)
func_801053E4	1	AU+FR-DE+UK-ES-IT+UK-SW(4w)
iSNDdmtransfer	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(129w)
iSNDsin	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(38w)
main	1	AU+FR-DE+UK-ES-IT+UK-SW(237w)
padinit	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(27w)
s_lower__FPc	1	JPN(8w)
s_upper__FPc	1	JPN(8w)
sprintf	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(548w)
videodecode__FP11VIDEOSTRUCTP14STREAMCHUNKHDRii	1	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA(258w)
