function	class	group	repr_region	region_va	words	unit	candidate
Draw_DirectSetEnvironment__Fiiiiiiiiii	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800BF200	69	game/psx/draw	regiondiff/recon/NFS4-R-AU/game/psx/draw.cpp
Draw_InitRenderEngine__Fiiiiii	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800BF370	47	game/psx/draw	regiondiff/recon/NFS4-R-AU/game/psx/draw.cpp
Draw_MenuRenderingView__FP8Car_tObjP13DRender_tViewiiiUliffii	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	80012BC0	235	game/psx/fe3dmenu	regiondiff/recon/NFS4-R-AU/game/psx/fe3dmenu.cpp
Draw_SetViewMemBudget__Fii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800BEBC0	11	game/psx/draw	regiondiff/recon/NFS4-R-USA/game/psx/draw.cpp
Draw_StartRenderingView__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800BEDAC	60	game/psx/draw	regiondiff/recon/NFS4-R-USA/game/psx/draw.cpp
Draw__11tDialogHelp	CHANGED	JPN	JPN	80019090	139	frontend/common/fedialog	regiondiff/recon/NFS4-R-JPN/frontend/common/fedialog.cpp
Draw__20tMenuItemSlidingMenuiib	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	8001D7CC	402	frontend/common/femenuoptions	regiondiff/recon/NFS4-R-AU/frontend/common/femenuoptions.cpp
Draw__25tPMenuItemLeftRightChoiceb	CHANGED	JPN	JPN	800A82E4	44	game/common/pausemenu	regiondiff/recon/NFS4-R-JPN/game/common/pausemenu.cpp
Draw__25tPMenuItemLeftRightSliderb	CHANGED	JPN	JPN	800A8534	96	game/common/pausemenu	regiondiff/recon/NFS4-R-JPN/game/common/pausemenu.cpp
FECheat_ActivateBonusByCode__FPc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80023800	46	frontend/common/fecheats	regiondiff/recon/NFS4-R-USA/frontend/common/fecheats.cpp
FECheat_ActivateCheat__FPc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80023634	66	frontend/common/fecheats	regiondiff/recon/NFS4-R-USA/frontend/common/fecheats.cpp
FECheat_HandleActivation__F10tCheatCode	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800233A0	36	frontend/common/fecheats	regiondiff/recon/NFS4-R-USA/frontend/common/fecheats.cpp
FECheat_LoadBonus__FRUl	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80023778	30	frontend/common/fecheats	regiondiff/recon/NFS4-R-USA/frontend/common/fecheats.cpp
FEInput_GetKeyFromPlayer__F7tPlayerl	CHANGED	JPN	JPN	80023984	77	frontend/common/feinput	regiondiff/recon/NFS4-R-JPN/frontend/common/feinput.cpp
FEInput_GetNoDebounceKey__Fii	CHANGED	JPN	JPN	80023688	122	frontend/common/feinput	regiondiff/recon/NFS4-R-JPN/frontend/common/feinput.cpp
FEInput_VerifyControllerValues__Fi	CHANGED	JPN	JPN	80023618	28	frontend/common/feinput	regiondiff/recon/NFS4-R-JPN/frontend/common/feinput.cpp
FeTools_DrawPSXButton__FUcUsii	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800269D0	126	frontend/common/fetools	regiondiff/recon/NFS4-R-USA/frontend/common/fetools.cpp
FntPrint	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800F7990	138	syslib/psx/libgpu/FONT	regiondiff/recon/NFS4-R-USA/syslib/psx/libgpu/FONT.c
Front_AppendOpponentData__FPiR9tFEStream	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80029B74	205	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Front_GetInGameVars__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8002B750	63	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Front_InitMissions__FR9tFEStream	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80028BA8	85	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Front_InitTrack__FR9tFEStream	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80029284	117	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Front_InitialMemCardCheck__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800279A0	42	frontend/common/front	regiondiff/recon/NFS4-R-AU/frontend/common/front.cpp
Front_InitialMemCardCheck__Fv	CHANGED	JPN+USA	USA	80027968	25	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
Front_SecondaryMemCardCheck__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800279CC	53	frontend/common/front	regiondiff/recon/NFS4-R-USA/frontend/common/front.cpp
GameSetup_StartUp__FPi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8009C7C8	263	game/common/gmesetup	regiondiff/recon/NFS4-R-USA/game/common/gmesetup.cpp
GetCarFromID__11tCarManagers	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	80016374	28	frontend/common/fecars	regiondiff/recon/NFS4-R-USA/frontend/common/fecars.cpp
GetShapeInfo__15tScreenCongratsRsT1PPcT3	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8004830C	148	frontend/common/screencongrats	regiondiff/recon/NFS4-R-USA/frontend/common/screencongrats.cpp
GetShapeInfo__25tScreenCarSelectTwoPlayerRsT1PPcT3	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003E660	58	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
GetShapeInfo__25tScreenPinkSlipsCarSelectRsT1PPcT3	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003FA24	30	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
GoNonInterlaced__7tScreen	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	80025C50	51	frontend/common/fescreen	regiondiff/recon/NFS4-R-AU/frontend/common/fescreen.cpp
HighExecute__10AIHigh_Cop	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800644B4	1464	game/common/aih_cop	regiondiff/recon/NFS4-R-USA/game/common/aih_cop.cpp
Hud_BuildNumbers__Fi	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800D5A44	758	game/psx/hud	regiondiff/recon/NFS4-R-USA/game/psx/hud.cpp
Hud_CreateHudViews__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	800D280C	187	game/psx/hud	regiondiff/recon/NFS4-R-AU/game/psx/hud.cpp
Hud_DebugInfo__Fv	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800D2B5C	2	game/psx/hud	regiondiff/recon/NFS4-R-USA/game/psx/hud.cpp
Hud_ParseTime__FiPc	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	800D9938	97	game/psx/hud	regiondiff/recon/NFS4-R-USA/game/psx/hud.cpp
Init_MemcardFile__FR12MCRDFILE_defsb	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW	AU	80034A5C	32	frontend/common/fememcard	regiondiff/recon/NFS4-R-AU/frontend/common/fememcard.cpp
Init_Memcard__FbT0	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW	AU	8003484C	90	frontend/common/fememcard	regiondiff/recon/NFS4-R-AU/frontend/common/fememcard.cpp
Init_Memcard__FbT0	CHANGED	USA	USA	800347D4	89	frontend/common/fememcard	regiondiff/recon/NFS4-R-USA/frontend/common/fememcard.cpp
Init_RenderingEnvironment__Fv	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	8004E2A0	62	frontend/psx/psxfront	regiondiff/recon/NFS4-R-AU/frontend/psx/psxfront.cpp
Init__14tCreditManageri	CHANGED	AU	AU	80035CC0	54	frontend/common/fecredits	regiondiff/recon/NFS4-R-AU/frontend/common/fecredits.cpp
Initialize__11tScreenMain	CHANGED	AU	AU	80038960	219	frontend/common/screenmain	regiondiff/recon/NFS4-R-AU/frontend/common/screenmain.cpp
Initialize__11tScreenMain	CHANGED	FR-DE+UK-ES-IT+UK-SW+USA	USA	8003895C	221	frontend/common/screenmain	regiondiff/recon/NFS4-R-USA/frontend/common/screenmain.cpp
Initialize__11tScreenMain	CHANGED	JPN	JPN	8003850C	223	frontend/common/screenmain	regiondiff/recon/NFS4-R-JPN/frontend/common/screenmain.cpp
Initialize__14tScreenMemcard	CHANGED	AU+FR-DE+UK-ES-IT+UK-SW	AU	80048088	107	frontend/common/screenmemcard	regiondiff/recon/NFS4-R-AU/frontend/common/screenmemcard.cpp
Initialize__25tScreenCarSelectTwoPlayer	CHANGED	AU+FR-DE+JPN+UK-ES-IT+UK-SW+USA	USA	8003F140	32	frontend/common/screencarselect	regiondiff/recon/NFS4-R-USA/frontend/common/screencarselect.cpp
