module                             config            PASS      of   DIFFS   CNTEX
syslib/psx/libmath/DIVSF3          nosplit              0       1     107       0
syslib/psx/libmath/EXTSFDF2        BASE                 0       1      69       0
syslib/psx/libmath/EXTSFDF2        O1                   0       1      89       0
syslib/psx/libmath/EXTSFDF2        nodelay              0       1      90       0
syslib/psx/libmath/EXTSFDF2        nosched1             0       1      77       0
syslib/psx/libmath/EXTSFDF2        nosched2             0       1      69       0
syslib/psx/libmath/EXTSFDF2        G0                   0       1      69       0
syslib/psx/libmath/EXTSFDF2        G8                   0       1      69       0
syslib/psx/libmath/EXTSFDF2        nosplit              0       1      69       0
syslib/psx/libmath/FERR            BASE                 0       1       2       1
syslib/psx/libmath/FERR            O1                   0       1      10       0
syslib/psx/libmath/FERR            nodelay              0       1      12       0
syslib/psx/libmath/FERR            nosched1             0       1       2       1
syslib/psx/libmath/FERR            nosched2             0       1      10       0
syslib/psx/libmath/FERR            G0                   0       1      10       1
syslib/psx/libmath/FERR            G8                   0       1       2       1
syslib/psx/libmath/FERR            nosplit              0       1       2       1
syslib/psx/libmath/FIXDFSI         BASE                 0       1      80       0
syslib/psx/libmath/FIXDFSI         O1                   0       1      65       0
syslib/psx/libmath/FIXDFSI         nodelay              0       1      95       0
syslib/psx/libmath/FIXDFSI         nosched1             0       1      68       0
syslib/psx/libmath/FIXDFSI         nosched2             0       1      78       0
syslib/psx/libmath/FIXDFSI         G0                   0       1      80       0
syslib/psx/libmath/FIXDFSI         G8                   0       1      80       0
syslib/psx/libmath/FIXDFSI         nosplit              0       1      80       0
syslib/psx/libmath/FIXSFSI         BASE                 0       1      12       0
syslib/psx/libmath/FIXSFSI         O1                   0       1      20       0
syslib/psx/libmath/FIXSFSI         nodelay              0       1      28       0
syslib/psx/libmath/FIXSFSI         nosched1             0       1      12       0
syslib/psx/libmath/FIXSFSI         nosched2             0       1      12       0
syslib/psx/libmath/FIXSFSI         G0                   0       1      12       0
syslib/psx/libmath/FIXSFSI         G8                   0       1      12       0
syslib/psx/libmath/FIXSFSI         nosplit              0       1      12       0
syslib/psx/libmath/FLTSIDF         BASE                 0       1      50       1
syslib/psx/libmath/FLTSIDF         O1                   0       1      59       0
syslib/psx/libmath/FLTSIDF         nodelay              0       1      65       0
syslib/psx/libmath/FLTSIDF         nosched1             0       1      50       1
syslib/psx/libmath/FLTSIDF         nosched2             0       1      59       0
syslib/psx/libmath/FLTSIDF         G0                   0       1      50       1
syslib/psx/libmath/FLTSIDF         G8                   0       1      50       1
syslib/psx/libmath/FLTSIDF         nosplit              0       1      50       1
syslib/psx/libmath/FLTSISF         BASE                 0       1      38       0
syslib/psx/libmath/FLTSISF         O1                   0       1      11       0
syslib/psx/libmath/FLTSISF         nodelay              0       1      48       0
syslib/psx/libmath/FLTSISF         nosched1             0       1      11       0
syslib/psx/libmath/FLTSISF         nosched2             0       1      38       0
syslib/psx/libmath/FLTSISF         G0                   0       1      38       0
syslib/psx/libmath/FLTSISF         G8                   0       1      38       0
syslib/psx/libmath/FLTSISF         nosplit              0       1      38       0
syslib/psx/libmath/GTDF2           BASE                 0       1      54       0
syslib/psx/libmath/GTDF2           O1                   0       1      89       0
syslib/psx/libmath/GTDF2           nodelay              0       1      68       0
syslib/psx/libmath/GTDF2           nosched1             0       1      54       0
syslib/psx/libmath/GTDF2           nosched2             0       1      54       0
syslib/psx/libmath/GTDF2           G0                   0       1      54       0
syslib/psx/libmath/GTDF2           G8                   0       1      54       0
syslib/psx/libmath/GTDF2           nosplit              0       1      54       0
syslib/psx/libmath/LTDF2           BASE                 0       1      39       0
syslib/psx/libmath/LTDF2           O1                   0       1      62       0
syslib/psx/libmath/LTDF2           nodelay              0       1      55       0
syslib/psx/libmath/LTDF2           nosched1             0       1      39       0
syslib/psx/libmath/LTDF2           nosched2             0       1      39       0
syslib/psx/libmath/LTDF2           G0                   0       1      39       0
syslib/psx/libmath/LTDF2           G8                   0       1      39       0
syslib/psx/libmath/LTDF2           nosplit              0       1      39       0
syslib/psx/libmath/MULDF3          BASE                 0       2     421       0
syslib/psx/libmath/MULDF3          O1                   0       2     456       0
syslib/psx/libmath/MULDF3          nodelay              0       2     467       0
syslib/psx/libmath/MULDF3          nosched1             0       2     417       0
syslib/psx/libmath/MULDF3          nosched2             0       2     445       0
syslib/psx/libmath/MULDF3          G0                   0       2     421       0
syslib/psx/libmath/MULDF3          G8                   0       2     421       0
syslib/psx/libmath/MULDF3          nosplit              0       2     421       0
syslib/psx/libmath/MULSF3          BASE                 0       1      94       0
syslib/psx/libmath/MULSF3          O1                   0       1     125       0
syslib/psx/libmath/MULSF3          nodelay              0       1     129       0
syslib/psx/libmath/MULSF3          nosched1             0       1     100       0
syslib/psx/libmath/MULSF3          nosched2             0       1      98       0
syslib/psx/libmath/MULSF3          G0                   0       1      94       0
syslib/psx/libmath/MULSF3          G8                   0       1      94       0
syslib/psx/libmath/MULSF3          nosplit              0       1      94       0
syslib/psx/libmath/TRUDFSF2        BASE                 0       1     109       0
syslib/psx/libmath/TRUDFSF2        O1                   0       1     105       0
syslib/psx/libmath/TRUDFSF2        nodelay              0       1     126       0
syslib/psx/libmath/TRUDFSF2        nosched1             0       1     105       0
